,id,abstract,keywords
10,"
pmel_co2_moorings_f2b3_f6aa_2bd9
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nch\\u00e1\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
11,"
pmel_co2_moorings_601b_daad_0d76
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ncoastal\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
12,"
pmel_co2_moorings_bef9_1d33_6406
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ncoastal\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
13,"
pmel_co2_moorings_86eb_f664_1292
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ncrescent\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nreef\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
14,"
pmel_co2_moorings_7036_cf9d_0b0a
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ncrimp1\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
15,"
pmel_co2_moorings_f513_3ff7_3026
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ncrimp2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
16,"
dsg_25cb_7026_c17e
","
Pacific Marine Environmental Laboratory (PMEL) Earth_Oceans Interactions Program (EOI) Miniature Temperature Recorder (MTR) data
","['\ncomments\n', '\ncorrected\n', '\ndata\n', '\ndate\n', '\ndeployed\n', '\ndeployment\n', '\ndepltype\n', '\ndive\n', '\nearth\n', '\nearth-oceans\n', '\nend\n', '\nenvironmental\n', '\neoi\n', '\nfilename\n', '\ninteractions\n', '\nlaboratory\n', '\nloctype\n', '\nmarine\n', '\nminiature\n', '\nmooring\n', '\nmtr\n', '\nname\n', '\nnoaa\n', '\nnotes\n', '\nobs\n', '\nobservations\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npmel\n', '\nprogram\n', '\nrate\n', '\nrecorder\n', '\nrecovered\n', '\nsample\n', '\nsamplerate\n', '\nseadepth\n', '\nseafloor\n', '\nsite\n', '\nsite-name\n', '\nsitename\n', '\nstart\n', '\nstring\n', '\ntemperature\n', '\ntseries\n', '\nturbidity\n', '\ntype\n', '\nyear\n', '\nyrdepl\n', '\nyrrec\n', '\nPMEL Earth-Oceans Interactions Program\n', '\nlongitude\n', '\nlatitude\n', '\ndepth\n', '\ntime\n']"
17,"
pmel_co2_moorings_c326_4d15_ec34
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\ngakoa\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
18,"
pmel_co2_moorings_4d35_aacb_1d36
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\ngray\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nreef\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
19,"
pmel_co2_moorings_48d9_7fc4_0e34
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\ngulf\n', '\nlaboratory\n', '\nlocal\n', '\nmaine\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
20,"
pmel_co2_moorings_07e8_77e8_cc4a
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\nhog\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nreef\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
21,"
pmel_co2_moorings_45ea_9c1e_58a6
","
Observations from NOAA's Moored Surface Ocean CO2 Flux and Ocean Acidification Observing Network. Supported by the NOAA Ocean Observing and Monitoring Division, the NOAA Ocean Acidification Program, and over twenty other partners and programs.
","['\nacidification\n', '\nair\n', '\ncarbon\n', '\ncarbon dioxide\n', '\nco2\n', '\ndata\n', '\ndatetime\n', '\ndensity\n', '\ndioxide\n', '\nearth\n', '\nenvironmental\n', '\niceland\n', '\nlaboratory\n', '\nlocal\n', '\nmarine\n', '\nmooring\n', '\nnoaa\n', '\nnoaa/pmel\n', '\nocean\n', '\noceans\n', '\npacific\n', '\npartial\n', '\npco2\n', '\npmel\n', '\npractical\n', '\npressure\n', '\nprogram\n', '\nsalinity\n', '\nsalinity/density\n', '\nscience\n', '\nsea\n', '\nsea-surface\n', '\nseawater\n', '\nseries\n', '\nsource\n', '\nsss\n', '\nsst\n', '\nstation\n', '\nsurface\n', '\ntemperature\n', '\ntime series\n', '\nwater\n', '\nxco2\n', '\nEarth Science > Oceans > Salinity/Density > Salinity\n', '\nEarth Science > Oceans > Ocean Temperature > Sea Surface Temperature\n', '\nNOAA/PMEL Carbon Program\n', '\nlongitude\n', '\nlatitude\n', '\ntime\n', '\nsea_surface_temperature\n', '\nsea-surface_salinity\n']"
